아파트 이름,건축 연도,전용 면적 (㎡),층,거래 금액 (만원),거래 일자,주소,읍면동,평당 가격 (만원),면적 범주,읍면동_구미동,읍면동_금곡동,읍면동_대장동,읍면동_백현동,읍면동_분당동,읍면동_삼평동,읍면동_서현동,읍면동_수내동,읍면동_야탑동,읍면동_운중동,읍면동_이매동,읍면동_정자동,읍면동_판교동
까치마을(2단지)(주공),1995,49.67,16,67200,2024-01-24,  미금일로 88,구미동,1352.9293336017718,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
아름마을(두산),1992,84.84,10,115500,2024-01-27,"경기 성남시분당구, 서울 강동구 탄천로 133",이매동,1361.3861386138612,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
청솔마을(서광),1995,84.96,18,109000,2024-01-31,경기 성남시분당구 성남대로171번길 177,금곡동,1282.9566854990585,25~40평,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
탑마을(경향),1993,131.4,8,142500,2024-01-16,"경기 성남시 분당구, 경기 하남시 양현로 510",야탑동,1084.4748858447488,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
백현마을5단지(주공),2009,74.92,5,160000,2024-01-20,경기 성남시분당구 판교역로 554,백현동,2135.611318739989,15~25평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
판교원마을6단지(판교대광로제비앙),2009,59.667,1,86400,2024-01-16,경기 성남시분당구 판교원로 635,판교동,1448.0366031474684,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
아름마을(태영),1992,134.79,16,126000,2024-01-20,경기 성남시분당구 판교로 132,이매동,934.7874471399956,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
양지마을(금호1),1992,84.9,1,139000,2024-01-25,경기 성남시분당구 수내로 34,수내동,1637.2202591283863,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"양지마을(6단지)(금호,청구)",1992,59.94,19,90500,2024-01-20,경기 성남시 분당구 내정로165번길 32,수내동,1509.8431765098433,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
무지개(1단지)(대림),1995,84.97,1,79750,2024-01-20,경기 성남시분당구 미금로 211,구미동,938.5665529010239,25~40평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
파크뷰,2004,139.68,27,241000,2024-01-11,경기 성남시분당구 정자일로 6,정자동,1725.3722794959908,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
무지개(3단지)(건영),1996,53.83,8,61000,2024-01-26,경기 성남시 분당구 미금로 201,구미동,1133.1971019877392,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
정든마을(2단지)(동아),1995,48.84,1,63000,2024-01-30,경기 성남시분당구 불정로 198,정자동,1289.9262899262899,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
더샵분당파크리버,2021,74.9994,27,110000,2024-01-30,경기 성남시수정구 돌마로 215,정자동,1466.6784000938676,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
무지개(1단지)(대림),1995,84.97,2,83500,2024-01-26,경기 성남시분당구 미금로 211,구미동,982.6997763916677,25~40평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
탑마을(경남)1,1994,69.87,6,88800,2024-01-14,경기 성남시 분당구 판교로 525,야탑동,1270.931730356376,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
시범우성,1991,164.4,8,197000,2024-01-18,경기 성남시 분당구 중앙공원로 96,서현동,1198.2968369829682,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
무지개(12단지)(주공뜨란체),1995,59.98,12,62500,2024-01-29,경기 성남시분당구 미금로22번길 212,구미동,1042.0140046682227,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
판교원마을9단지(한림풀에버),2009,71.8438,5,124500,2024-01-20,경기 성남시분당구 서판교로 585,판교동,1732.9261536834076,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
양지마을(5단지)(한양515-529),1992,134.55,12,180000,2024-01-16,경기 성남시분당구 내정로 24,수내동,1337.7926421404682,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
무지개(11단지)(금강센테리움),1995,49.77,11,56000,2024-01-30,경기 성남시분당구 미금로22번길 213,구미동,1125.1758087201124,15~25평,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"양지마을(6단지)(금호,청구)",1992,55.44,11,86000,2024-01-16,경기 성남시분당구 내정로165번길 32,수내동,1551.2265512265512,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
시범삼성,1991,133.295,9,182500,2024-01-27,경기 성남시 분당구 중앙공원로 87,서현동,1369.1436287932781,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
동양정자파라곤(2단지),2004,146.37,5,177500,2024-01-25,  정자일로 14-1,정자동,1212.680194028831,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
산운마을14단지(경남아너스빌),2009,101.25,18,145000,2024-01-17,"경기 성남시분당구, 경기 의왕시 판교원로82번길 916",운중동,1432.0987654320988,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
시범현대,1991,186.24,12,190000,2024-01-19,경기 성남시분당구 중앙공원로 92,서현동,1020.1890034364261,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
상록마을(우성)1,1994,101.98,5,170000,2024-01-20,경기 성남시분당구 내정로 121,정자동,1666.9935281427731,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
파크타운(롯데),1993,101.91,1,137000,2024-01-12,경기 성남시 분당구 내정로 55,수내동,1344.323422627809,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
백현마을5단지(주공),2009,74.92,5,160000,2024-01-20,경기 성남시 분당구 판교역로 554,백현동,2135.611318739989,15~25평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
봇들마을1단지(판교신미주),2009,82.794,12,149500,2024-01-23,경기 성남시분당구 동판교로 705,삼평동,1805.686402396309,25~40평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
산운마을14단지(경남아너스빌),2009,101.25,18,145000,2024-01-17,"경기 성남시 분당구, 경기 의왕시 판교원로82번길 916",운중동,1432.0987654320988,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
판교원마을11단지(힐스테이트),2009,115.87,5,160000,2024-01-20,경기 성남시분당구 서판교로 513,판교동,1380.8578579442478,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
판교원마을9단지(한림풀에버),2009,71.8438,11,121500,2024-01-18,경기 성남시 분당구 서판교로 585,판교동,1691.1688969681447,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
시범한양,1991,35.1,2,65000,2024-01-12,경기 성남시분당구 중앙공원로 91,서현동,1851.8518518518517,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
산운마을11단지(판교포레라움),2009,59.9,3,109000,2024-01-17,경기 성남시분당구 판교원로 922,운중동,1819.6994991652755,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
판교푸르지오월드마크,2013,127.6,5,204000,2024-01-03,경기 성남시분당구 대왕판교로606번길 741,삼평동,1598.7460815047023,25~40평,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
샛별마을(우방),1994,57.28,13,87000,2024-01-19,경기 성남시분당구 수내로 38,분당동,1518.854748603352,15~25평,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
백현마을7단지(주공),2009,74.76,21,157500,2024-01-16,경기 성남시분당구 판교역로 556,백현동,2106.741573033708,15~25평,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
판교퍼스트힐푸르지오1단지,2021,84.85,17,105000,2024-01-10,경기 성남시 분당구 판교대장로7길 592,대장동,1237.4779021803183,25~40평,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
양지마을(6단지)(한양603동),1993,59.76,9,83000,2024-01-20,경기 성남시분당구 내정로173번길 29,수내동,1388.888888888889,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
산운마을5단지(한성필하우스),2009,84.8205,12,135000,2024-01-21,"경기 구리시, 경기 성남시분당구 산운로 989",운중동,1591.5963711602737,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
판교원마을3단지(푸르지오),2009,101.27,16,163000,2024-01-20,경기 성남시분당구 판교로 629,판교동,1609.5586057075145,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
판교풍경채어바니티(5단지),2021,84.973,8,115500,2024-01-20,경기 성남시분당구 판교대장로5길 642,대장동,1359.2552928577313,25~40평,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
파크타운(서안),1993,84.6,11,138000,2024-01-12,경기 성남시분당구 수내로 52,수내동,1631.2056737588653,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
동양정자파라곤(2단지),2004,166.38,8,179000,2024-01-20,경기 성남시분당구 정자일로 14-1,정자동,1075.8504627960092,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
시범현대,1991,129.73,13,171000,2024-01-12,경기 성남시분당구 중앙공원로 92,서현동,1318.122253911971,25~40평,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
정든마을(8단지)(한진),1995,134.97,6,139000,2024-01-29,경기 성남시분당구 불정로 192,정자동,1029.8584870712011,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
느티마을(4단지)(공무원),1994,67.43,14,135000,2024-01-24,경기 성남시분당구 느티로 90,정자동,2002.0762271985761,15~25평,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
양지마을(5단지)(한양515-529),1992,134.55,2,165000,2024-01-16,경기 성남시분당구 내정로 24,수내동,1226.3099219620958,40평 초과,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
장미마을(현대),1993,41.76,10,57500,2024-01-22,경기 성남시분당구 장미로 334,야탑동,1376.9157088122606,15평 이하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
